time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-30 00:00:00+00:00,3,2,12,6
2026-08-31 00:00:00+00:00,4,3,11,7
2026-09-01 00:00:00+00:00,4,3,8,5
2026-09-02 00:00:00+00:00,3,3,6,5
2026-09-03 00:00:00+00:00,4,4,7,3
2026-09-04 00:00:00+00:00,15,8,17,10
2026-09-05 00:00:00+00:00,10,5,4,4
2026-09-06 00:00:00+00:00,1,1,0,0
2026-09-07 00:00:00+00:00,16,10,4,3
2026-09-08 00:00:00+00:00,2,2,4,2
2026-09-09 00:00:00+00:00,3,2,2,2
2026-09-10 00:00:00+00:00,5,4,1,1
2026-09-11 00:00:00+00:00,3,3,5,4
2026-09-12 00:00:00+00:00,3,3,3,1
